STATIONID,STATIONCNNAME,STATIONENABBRNAME,STATIONTYPE,VIRTUALFLAG,ENABLEFLAG,ROWFLAG,CREATIONTIME,STATIONCNABBRNAME,lng,lat,lng_lat
76,卸甲甸,XIEJIADIAN,0,0,1,1,41737.57271,XJD,118.737447 ,32.220866 ,"118.737447,32.220866"
77,大厂,DACHANG,0,0,1,1,41737.57271,DC,118.746646 ,32.234617 ,"118.746646,32.234617"
78,葛塘,GETANG,0,0,1,1,41737.57271,GT,118.760248 ,32.250244 ,"118.760248,32.250244"
79,长芦,CHANGLU,0,0,1,1,41737.57271,CL,118.782915 ,32.279744 ,"118.782915,32.279744"
80,化工园,HUAGONGYUAN,0,0,1,1,41737.57271,HGY,118.792042 ,32.292237 ,"118.792042,32.292237"
81,六合开发区,LUHE DEVELOPMENT ZONE,0,0,1,1,41737.57271,LHKFQ,118.811502 ,32.311537 ,"118.811502,32.311537"
82,龙池,LONGCHI,0,0,1,1,41737.57271,LC,118.826863 ,32.325218 ,"118.826863,32.325218"
83,雄州,XIONGZHOU,0,0,1,1,41737.57271,XZ,118.843307 ,32.340535 ,"118.843307,32.340535"
84,凤凰山公园,FENGHUANGSHAN PARK,0,0,1,1,41737.57271,FHSGY,118.851749 ,32.352723 ,"118.851749,32.352723"
85,方州广场,FANGZHOUGUANGCHANG,0,0,1,1,41737.57271,FZGC,118.856496 ,32.364841 ,"118.856496,32.364841"
86,沈桥,SHENQIAO,0,0,1,1,41737.57271,SQ,118.898164 ,32.405959 ,"118.898164,32.405959"
87,八百桥,BABAIQIAO,0,0,1,1,41737.57271,BBQ,118.939642 ,32.433298 ,"118.939642,32.433298"
88,金牛湖,JINNIUHU,0,0,1,1,41737.57271,JNH,118.970628 ,32.470909 ,"118.970628,32.470909"
89,林场,LINCHANG,0,0,1,1,41737.57271,LC,118.678021 ,32.170096 ,"118.678021,32.170096"
90,星火路,XINGHUOLU,0,0,1,1,41737.57271,XHL,118.703336 ,32.163894 ,"118.703336,32.163894"
91,东大成贤学院,SEU CHENGXIAN COLLEGE,0,0,1,1,41737.57271,DDCXXY,118.714479 ,32.162498 ,"118.714479,32.162498"
92,天润城,TIANRUNCHENG,0,0,1,1,41737.57271,TRC,118.740599 ,32.156536 ,"118.740599,32.156536"
93,柳洲东路,LIUZHOUDONGLU,0,0,1,1,41737.57271,LZDL,118.752849 ,32.145776 ,"118.752849,32.145776"
94,上元门,SHANGYUANMEN,0,0,1,1,41737.57271,SYM,118.776209 ,32.121777 ,"118.776209,32.121777"
95,五塘广场,WUTANGGUANGCHANG,0,0,1,1,41737.57271,WTGC,118.784105 ,32.116682 ,"118.784105,32.116682"
96,小市,XIAOSHI,0,0,1,1,41737.57271,XS,118.791834 ,32.101609 ,"118.791834,32.101609"
97,南京林业大学新庄,NFU XINZHUANG,0,0,1,1,41737.57271,NJLYDXXZ,118.816707 ,32.083033 ,"118.816707,32.083033"
98,鸡鸣寺,JIMINGSI,1,0,1,1,42660.80626,JMS,118.804167 ,32.063699 ,"118.804167,32.063699"
99,浮桥,FUQIAO,0,0,1,1,41737.57271,FQ,118.802703 ,32.055384 ,"118.802703,32.055384"
100,常府街,CHANGFUJIE,0,0,1,1,41737.57271,CFJ,118.798819 ,32.040280 ,"118.798819,32.04028"
101,夫子庙,FUZIMIAO,0,0,1,1,41737.57271,FZM,118.797497 ,32.030031 ,"118.797497,32.030031"
